TimeStamp [µs],47 (ID=0) [pV],48 (ID=1) [pV],46 (ID=2) [pV],45 (ID=3) [pV],38 (ID=4) [pV],37 (ID=5) [pV],28 (ID=6) [pV],36 (ID=7) [pV],27 (ID=8) [pV],17 (ID=9) [pV],26 (ID=10) [pV],16 (ID=11) [pV],35 (ID=12) [pV],25 (ID=13) [pV],Ref (ID=14) [pV],14 (ID=15) [pV],24 (ID=16) [pV],34 (ID=17) [pV],13 (ID=18) [pV],23 (ID=19) [pV],12 (ID=20) [pV],22 (ID=21) [pV],33 (ID=22) [pV],21 (ID=23) [pV],32 (ID=24) [pV],31 (ID=25) [pV],44 (ID=26) [pV],43 (ID=27) [pV],41 (ID=28) [pV],42 (ID=29) [pV],52 (ID=30) [pV],51 (ID=31) [pV],53 (ID=32) [pV],54 (ID=33) [pV],61 (ID=34) [pV],62 (ID=35) [pV],71 (ID=36) [pV],63 (ID=37) [pV],72 (ID=38) [pV],82 (ID=39) [pV],73 (ID=40) [pV],83 (ID=41) [pV],64 (ID=42) [pV],74 (ID=43) [pV],84 (ID=44) [pV],85 (ID=45) [pV],75 (ID=46) [pV],65 (ID=47) [pV],86 (ID=48) [pV],76 (ID=49) [pV],87 (ID=50) [pV],77 (ID=51) [pV],66 (ID=52) [pV],78 (ID=53) [pV],67 (ID=54) [pV],68 (ID=55) [pV],55 (ID=56) [pV],56 (ID=57) [pV],58 (ID=58) [pV],57 (ID=59) [pV]
0,-9119565,-10907715,-8642725,-5960500,-7748650,-9000355,-14007175,-5006820,-7092995,-12099815,-9179170,-5781685,-9715615,-7391020,178815,-7391020,-9417590,-11146135,-10013640,-8404305,-9179170,-8761935,-9059960,-9357985,-11086530,-42915600,-10550085,-11622975,-9179170,-7689045,-9656010,-10550085,-9596405,-8165885,-8165885,-9298380,-9894430,-9954035,-10192455,-10490480,-11265345,-8583120,-10013640,-6496945,-11563370,-9834825,-8940750,-11563370,-10967320,-11563370,-7927465,-8881145,-9715615,-9119565,-8285095,-8523515,-9059960,-9357985,-9477195,-10609690
100,0,-1251705,1847755,-7092995,476840,-1490125,-596050,715260,-1549730,2145780,-476840,-476840,-834470,2980250,-1609335,0,-715260,655655,0,-178815,-596050,-2145780,-3576300,-119210,-2920645,-28193165,-1907360,-1728545,-894075,-2086175,-2145780,-2324595,-3576300,834470,-2801435,-2324595,1192100,1430520,-4351165,715260,-1072890,-1311310,-1728545,-655655,-1549730,-596050,-298025,-2086175,-2563015,-59605,-1072890,357630,476840,894075,-1668940,-834470,-834470,-1668940,476840,-894075
200,6735365,6914180,7569835,8165885,7569835,6437340,10073245,25928175,9596405,5900895,7629440,6735365,7748650,6020105,894075,5781685,5364450,5304845,5662475,6675760,7271810,5126030,6318130,5900895,7212205,-20861750,7569835,4947215,3993535,4351165,6854575,6020105,5781685,6318130,3635905,5245240,5066425,4887610,2563015,7510230,5364450,5364450,5543265,4231955,6496945,7152600,4410770,5066425,4708795,4828005,5900895,6496945,3874325,6675760,5841290,4768400,5781685,5304845,5185635,6556550
300,-119210,1072890,2264990,-1251705,4351165,238420,4887610,16987425,2026570,2145780,1966965,-655655,2086175,2443805,59605,715260,715260,1072890,238420,4231955,5424055,3993535,-178815,476840,1549730,-19073600,178815,59605,-59605,953680,-476840,2086175,1728545,119210,-238420,-119210,655655,1370915,-238420,2205385,596050,1132495,1549730,536445,238420,894075,-953680,834470,357630,-715260,178815,655655,1311310,1430520,2264990,536445,536445,-1788150,953680,2503410
400,-1311310,536445,2205385,-4470375,0,-417235,1788150,-3159065,298025,1966965,59605,1132495,-2205385,715260,-715260,2682225,834470,-476840,-1192100,1847755,953680,1370915,-1370915,2026570,1251705,-15199275,-1013285,-1072890,1311310,2324595,-894075,-1490125,1072890,1132495,-596050,1013285,1430520,3516695,1370915,1966965,-1490125,1847755,-715260,2682225,715260,774865,1311310,774865,417235,596050,59605,59605,894075,-536445,-298025,655655,-774865,59605,1013285,-953680
500,-7092995,-7867860,-5483660,-5483660,-9119565,-8761935,-7808255,-22232665,-7450625,-5722080,-9238775,-5185635,-6616155,-9298380,476840,-5781685,-9477195,-4768400,-7629440,-7152600,-8702330,-7689045,-8702330,-8106280,-7987070,-41365870,-8046675,-6258525,-9119565,-6318130,-9417590,-10311665,-7271810,-6437340,-10073245,-6675760,-8046675,-5424055,-9119565,-8344700,-9894430,-9357985,-3993535,-8881145,-6973785,-8642725,-7033390,-7152600,-8046675,-10132850,-7748650,-5304845,-10073245,-9298380,-8344700,-9059960,-7391020,-7271810,-7450625,-8285095
600,1728545,-1192100,476840,3576300,-1907360,1311310,-1728545,-16450980,178815,-536445,953680,655655,1251705,-536445,-1192100,2682225,238420,3039855,-3039855,0,357630,1370915,1311310,2026570,59605,-28550795,1549730,5364450,-1132495,1668940,-238420,1192100,536445,-2443805,-655655,1370915,1013285,3159065,-953680,119210,894075,-834470,3278275,1072890,1132495,-894075,357630,655655,-238420,-1370915,-119210,-1609335,-59605,-3039855,476840,119210,-1013285,2503410,2503410,-953680
700,4291560,5304845,5185635,2741830,1847755,4172350,1072890,22947925,6794970,7510230,5662475,4172350,3755115,4291560,596050,6794970,4112745,4649190,2622620,3099460,4231955,6675760,3933930,6675760,2324595,-22709505,5662475,4589585,4649190,5066425,3874325,8463910,9238775,3337880,5185635,4410770,4351165,5960500,2682225,5960500,6258525,2801435,5781685,5483660,6675760,4112745,5185635,7867860,4768400,3516695,4529980,3457090,7391020,2920645,4053140,5900895,6079710,2861040,6258525,3695510
800,2205385,5304845,5602870,-953680,1728545,4351165,2622620,20742540,3814720,5185635,3218670,3874325,6318130,4231955,0,6973785,2861040,6794970,2801435,4351165,2324595,6139315,1788150,10550085,5364450,-24199630,5126030,1966965,5006820,5006820,7212205,7927465,9834825,3755115,2861040,3099460,3159065,5662475,2264990,4351165,5483660,4828005,3874325,2861040,3933930,4529980,4649190,5006820,4947215,4887610,4529980,4053140,2920645,3159065,4291560,4768400,5662475,4768400,6735365,4112745
900,953680,2741830,2384200,3933930,2741830,1370915,1251705,2264990,4351165,1013285,2264990,1609335,5185635,3755115,-834470,1490125,4887610,4053140,2980250,1132495,3576300,417235,536445,2026570,1788150,-14543620,3337880,1072890,1192100,417235,3576300,3337880,4708795,4053140,715260,1788150,1847755,4589585,894075,1609335,1251705,3457090,1430520,417235,2384200,894075,3695510,2920645,2920645,0,59605,3933930,1132495,238420,1907360,-1490125,2264990,0,4768400,1311310
